,clear ability,score ability
u_79467,31.34786588582626,5.972266640474401
u_94677,18.09921681720402,-2.8373650218894526
u_80659,9.130955079573468,-2.071793134859691
u_111941,31.237678845514314,4.173769507313228
u_107192,33.223726121569825,37.9779803588383
u_47898,60.94727698667286,3.8091702167691732
u_88744,64.49226543144363,49.02905109238312
u_124233,56.26495449589973,20.448007982098023
u_110866,3.1609640274936437,-4.022122240317035
u_73357,24.164460577712486,21.177624767840534
u_52287,20.16486258809234,-4.867598525993307
u_80463,35.47446628523668,-1.6984227261081029
u_136895,35.45143774033813,18.68965233559368
u_121850,23.489731608927332,3.507664118840497
u_129499,27.454367110398458,24.898813224467993
u_9995,20.597010916939016,2.5966418693081947
u_161290,52.10644305609643,37.64262120280374
u_155193,30.778766214033894,32.229938024629426
u_60029,22.419254996868638,-2.441235637768559
u_41928,12.538338901895983,0.9600175409263964
u_95966,56.543453086346254,7.2932088860793565
u_115953,25.2926528345582,5.009806655549044
u_48797,35.02965126300981,29.390831601157906
u_159249,37.787563927291,23.866269526413568
u_167849,-7.5802109746324025,-8.678370063443257
u_146474,24.40643032184241,-3.0386945032656407
u_55531,56.91081398022271,57.83170047392999
u_95879,63.72613548013825,46.392608169657414
u_148700,27.438248420591414,16.70404053457685
u_30855,26.683328866348827,-2.700790650521574
u_54362,40.21465062555452,24.313472837922088
u_169317,43.919779417365895,14.518582125562297
u_139958,63.58458124719628,24.23142580458291
u_4098,42.66679574050391,28.52863214111129
u_1865,43.592146708815584,6.244734183578872
u_82686,20.190105551433895,0.35390644033606616
u_70880,25.281679452092536,5.486619848921357
u_72332,9.665252833649433,-5.653579902439539
u_103499,11.25016324713572,-7.536846039260419
u_175845,23.498881233706374,-4.581353986682777
u_132427,37.64874078977903,29.034227037555134
u_25563,28.85259363756036,10.525511830447728
u_129475,33.360578635066744,21.349730422353268
u_27753,41.554315541631595,22.081141881114526
u_12335,52.26154154637361,27.85373614122444
u_65058,36.42222008137808,6.983420839383747
u_35150,22.12705389787368,0.21569592152772737
u_160328,30.341197387730627,2.74881086092406
u_124020,20.13365560847961,-0.3526972811876509
u_150777,30.298799536807092,12.877080118602038
u_173113,29.300641004280457,1.765191411616636
u_130874,59.44684364333878,18.1972521116847
u_80781,36.674711781955814,7.5394834370568775
u_77040,18.6402105895868,1.9897677165321541
u_37990,33.569250006897974,-0.09531847255721064
u_95772,14.115810116172494,-5.17718259010946
u_7077,52.99725720265267,32.407499573459674
u_40214,30.39370341792148,0.4353941058772662
u_36678,29.16589132404383,14.431638403237082
u_70074,-2.345302808560171,-3.651462407258352
u_179960,51.39663611600701,27.04241394943626
u_113605,23.93387390536191,4.977612496132239
u_27802,34.76880509590627,3.530151368443072
u_112969,30.015416372065317,13.909804595082152
u_33542,-1.5487565981580076,-2.7459711016506203
u_22923,23.55588672402383,14.134249626093915
u_27083,32.88999943261046,15.963379151895465
u_165610,28.977970823304783,19.649402288929203
u_44390,33.98823931133899,10.989099223030195
u_152960,37.92544969560293,43.638706125983525
u_133797,23.971242557613493,-3.5917226312612947
u_24658,21.880509560280643,-8.359557630312544
u_153,35.15665295402906,38.5323779463416
u_52361,34.85948661165515,2.1156949333838604
u_112472,47.38959548012421,28.985356415728802
u_15064,46.38661345471309,38.25934221687103
u_77993,55.8070634778352,54.67309094683322
u_22658,27.08086292716092,2.4089439674047917
u_25008,34.47199854287651,3.116974934240403
u_23109,30.609093436774266,24.75135920382743
u_158848,10.661451176678916,-6.2040376681926315
u_33276,23.414458392705036,-0.9954960563555849
u_114430,12.152911505697693,-8.183360824287536
u_47733,22.13663879974125,0.7725719856237819
u_95000,29.612839651112235,1.7067295222924483
u_124423,31.522736819070595,13.15543674584968
u_6941,44.98245623476729,6.173852573003923
u_40774,26.17060074073593,-1.52277792743059
u_105837,25.085289006023018,-6.058320436538992
u_148418,55.85863906111306,5.916260625072041
u_181341,40.96178236904919,20.070665298362815
u_40088,37.82928581117605,15.685501287441044
u_106023,36.56636448033439,-1.8524930239285546
u_6113,56.517685454532504,39.65257850175478
u_124494,21.869215337047454,-5.956113592482797
u_150199,27.870630403665807,18.880371306077834
u_74869,56.34188397075786,43.529484727517016
u_3117,28.314687772194667,3.916700110016683
u_171291,10.89572973162677,-4.885991538449081
u_167462,48.276215795313924,32.20601528798873
u_6220,27.486816740719767,19.47363311789856
u_164494,25.342002367895226,-6.709730873678349
u_126201,-3.0944093274153173,-10.17703933402241
u_69134,26.880317206393908,0.6957637662660707
u_7861,24.94871341409255,2.75820821546306
u_33809,1.2102752078380683,-1.4512253486472628
u_153141,36.63438856764748,21.057255221009534
