,0
1502,u_9829
1503,u_86443
1504,u_46410
1505,u_167513
1506,u_12470
1507,u_2838
1508,u_122901
1509,u_56751
1510,u_180393
1511,u_141860
1512,u_152886
1513,u_153891
1514,u_55791
1515,u_14286
1516,u_59378
1517,u_70784
1518,u_75045
1519,u_16141
1520,u_116482
1521,u_9338
1522,u_138509
1523,u_93104
1524,u_112317
1525,u_92826
1526,u_19247
1527,u_115180
1528,u_30201
1529,u_160492
1530,u_65716
1531,u_119874
1532,u_117991
1533,u_115077
1534,u_126995
1535,u_96415
1536,u_65954
1537,u_151208
1538,u_5363
1539,u_92871
1540,u_67932
1541,u_34561
1542,u_19771
1543,u_41664
1544,u_159419
1545,u_132901
1546,u_106962
1547,u_165607
1548,u_148977
1549,u_68367
1550,u_153814
1551,u_33455
1552,u_30858
1553,u_7413
1554,u_155472
1555,u_35794
1556,u_15599
1557,u_136886
1558,u_88769
1559,u_107245
1560,u_77305
1561,u_161858
1562,u_34792
1563,u_161441
1564,u_123241
1565,u_72045
1566,u_117314
1567,u_23154
1568,u_86585
1569,u_4329
1570,u_109057
1571,u_118783
1572,u_44672
1573,u_12065
1574,u_1
1575,u_61130
1576,u_100934
1577,u_1413
1578,u_16115
1579,u_160265
1580,u_133077
1581,u_19592
1582,u_12021
1583,u_163654
1584,u_84547
1585,u_88639
1586,u_5554
1587,u_114048
1588,u_29206
1589,u_14063
1590,u_126511
1591,u_70462
1592,u_129559
1593,u_13577
1594,u_93849
1595,u_60626
1596,u_33825
1597,u_5909
1598,u_78364
1599,u_66299
1600,u_52063
1601,u_79460
1602,u_168294
1603,u_34142
1604,u_175674
1605,u_35911
1606,u_102598
1607,u_132346
1608,u_147374
1609,u_72255
1610,u_173715
1611,u_110906
1612,u_82024
1613,u_60
1614,u_149383
1615,u_2818
1616,u_85729
1617,u_5015
1618,u_40281
1619,u_37767
1620,u_63243
1621,u_181287
1622,u_104316
1623,u_3695
1624,u_65149
1625,u_156615
1626,u_116
1627,u_145432
1628,u_46732
1629,u_91421
1630,u_95222
1631,u_157588
1632,u_70126
1633,u_5282
1634,u_162676
1635,u_156976
1636,u_82249
1637,u_179620
1638,u_168834
1639,u_72636
1640,u_138320
1641,u_25039
1642,u_165823
1643,u_7738
1644,u_75519
1645,u_22623
1646,u_8307
1647,u_138192
1648,u_4812
1649,u_12593
1650,u_132863
1651,u_75851
1652,u_30553
1653,u_180335
1654,u_84796
1655,u_9708
1656,u_157720
1657,u_38219
1658,u_45926
1659,u_23476
1660,u_147209
1661,u_43383
1662,u_80752
1663,u_52360
1664,u_157429
1665,u_23684
1666,u_30476
1667,u_48107
1668,u_142566
1669,u_117955
1670,u_10517
1671,u_153806
1672,u_138172
1673,u_86168
1674,u_92759
1675,u_156666
1676,u_15316
1677,u_14065
1678,u_40853
1679,u_61305
1680,u_84990
1681,u_159808
1682,u_170115
1683,u_133429
1684,u_148859
1685,u_29933
1686,u_106228
1687,u_46775
1688,u_13000
1689,u_94978
1690,u_105111
1691,u_13648
1692,u_156782
1693,u_1118
1694,u_143652
1695,u_119166
1696,u_115623
1697,u_18933
1698,u_30350
1699,u_86748
1700,u_26150
1701,u_55658
1702,u_163929
1703,u_162299
1704,u_11042
1705,u_158180
1706,u_134704
1707,u_160982
1708,u_144557
1709,u_95283
1710,u_130144
1711,u_167189
1712,u_106747
1713,u_11439
1714,u_140621
1715,u_126965
1716,u_161548
1717,u_24580
1718,u_86367
1719,u_28184
1720,u_104860
1721,u_106352
1722,u_85507
1723,u_73965
1724,u_180338
1725,u_19628
1726,u_23042
1727,u_90593
1728,u_142528
1729,u_12038
1730,u_18046
1731,u_13947
1732,u_79378
1733,u_39442
1734,u_49136
1735,u_151854
1736,u_58403
1737,u_1569
1738,u_26947
1739,u_158633
1740,u_31264
